command,language,intent,action
jarvis add 25 more minutes,en,timer.extend,focusTimer.extend(min)
add 25 more minutes jarvis,en,timer.extend,focusTimer.extend(min)
add 30 more minutes,en,timer.extend,focusTimer.extend(min)
jarvis add 30 more minutes,en,timer.extend,focusTimer.extend(min)
add 30 more minutes jarvis,en,timer.extend,focusTimer.extend(min)
extend the timer by 25,en,timer.extend,focusTimer.extend(min)
jarvis extend the timer by 25,en,timer.extend,focusTimer.extend(min)
extend the timer by 25 jarvis,en,timer.extend,focusTimer.extend(min)
extend the timer by 30,en,timer.extend,focusTimer.extend(min)
jarvis extend the timer by 30,en,timer.extend,focusTimer.extend(min)
extend the timer by 30 jarvis,en,timer.extend,focusTimer.extend(min)
give me 25 extra minutes,en,timer.extend,focusTimer.extend(min)
jarvis give me 25 extra minutes,en,timer.extend,focusTimer.extend(min)
give me 25 extra minutes jarvis,en,timer.extend,focusTimer.extend(min)
give me 30 extra minutes,en,timer.extend,focusTimer.extend(min)
jarvis give me 30 extra minutes,en,timer.extend,focusTimer.extend(min)
give me 30 extra minutes jarvis,en,timer.extend,focusTimer.extend(min)
25 मिनट और बढ़ाओ,hi,timer.extend,focusTimer.extend(min)
jarvis 25 मिनट और बढ़ाओ,hi,timer.extend,focusTimer.extend(min)
25 मिनट और बढ़ाओ jarvis,hi,timer.extend,focusTimer.extend(min)
30 मिनट और बढ़ाओ,hi,timer.extend,focusTimer.extend(min)
jarvis 30 मिनट और बढ़ाओ,hi,timer.extend,focusTimer.extend(min)
30 मिनट और बढ़ाओ jarvis,hi,timer.extend,focusTimer.extend(min)
टाइमर 25 मिनट बढ़ाओ,hi,timer.extend,focusTimer.extend(min)
jarvis टाइमर 25 मिनट बढ़ाओ,hi,timer.extend,focusTimer.extend(min)
टाइमर 25 मिनट बढ़ाओ jarvis,hi,timer.extend,focusTimer.extend(min)
टाइमर 30 मिनट बढ़ाओ,hi,timer.extend,focusTimer.extend(min)
jarvis टाइमर 30 मिनट बढ़ाओ,hi,timer.extend,focusTimer.extend(min)
टाइमर 30 मिनट बढ़ाओ jarvis,hi,timer.extend,focusTimer.extend(min)
और 25 मिनट दो,hi,timer.extend,focusTimer.extend(min)
jarvis और 25 मिनट दो,hi,timer.extend,focusTimer.extend(min)
और 25 मिनट दो jarvis,hi,timer.extend,focusTimer.extend(min)
और 30 मिनट दो,hi,timer.extend,focusTimer.extend(min)
jarvis और 30 मिनट दो,hi,timer.extend,focusTimer.extend(min)
और 30 मिनट दो jarvis,hi,timer.extend,focusTimer.extend(min)
25 minute aur badha do,hinglish,timer.extend,focusTimer.extend(min)
jarvis 25 minute aur badha do,hinglish,timer.extend,focusTimer.extend(min)
25 minute aur badha do jarvis,hinglish,timer.extend,focusTimer.extend(min)
30 minute aur badha do,hinglish,timer.extend,focusTimer.extend(min)
jarvis 30 minute aur badha do,hinglish,timer.extend,focusTimer.extend(min)
30 minute aur badha do jarvis,hinglish,timer.extend,focusTimer.extend(min)
timer 25 se extend karo,hinglish,timer.extend,focusTimer.extend(min)
jarvis timer 25 se extend karo,hinglish,timer.extend,focusTimer.extend(min)
timer 25 se extend karo jarvis,hinglish,timer.extend,focusTimer.extend(min)
timer 30 se extend karo,hinglish,timer.extend,focusTimer.extend(min)
jarvis timer 30 se extend karo,hinglish,timer.extend,focusTimer.extend(min)
timer 30 se extend karo jarvis,hinglish,timer.extend,focusTimer.extend(min)
aur 25 min do,hinglish,timer.extend,focusTimer.extend(min)
jarvis aur 25 min do,hinglish,timer.extend,focusTimer.extend(min)
aur 25 min do jarvis,hinglish,timer.extend,focusTimer.extend(min)
aur 30 min do,hinglish,timer.extend,focusTimer.extend(min)
jarvis aur 30 min do,hinglish,timer.extend,focusTimer.extend(min)
aur 30 min do jarvis,hinglish,timer.extend,focusTimer.extend(min)
take a break,en,timer.break,focusTimer.break()
jarvis take a break,en,timer.break,focusTimer.break()
take a break jarvis,en,timer.break,focusTimer.break()
start my break,en,timer.break,focusTimer.break()
jarvis start my break,en,timer.break,focusTimer.break()
start my break jarvis,en,timer.break,focusTimer.break()
i need a break,en,timer.break,focusTimer.break()
jarvis i need a break,en,timer.break,focusTimer.break()
i need a break jarvis,en,timer.break,focusTimer.break()
ब्रेक लो,hi,timer.break,focusTimer.break()
jarvis ब्रेक लो,hi,timer.break,focusTimer.break()
ब्रेक लो jarvis,hi,timer.break,focusTimer.break()
ब्रेक शुरू करो,hi,timer.break,focusTimer.break()
jarvis ब्रेक शुरू करो,hi,timer.break,focusTimer.break()
ब्रेक शुरू करो jarvis,hi,timer.break,focusTimer.break()
आराम चाहिए,hi,timer.break,focusTimer.break()
jarvis आराम चाहिए,hi,timer.break,focusTimer.break()
आराम चाहिए jarvis,hi,timer.break,focusTimer.break()
break le lo,hinglish,timer.break,focusTimer.break()
jarvis break le lo,hinglish,timer.break,focusTimer.break()
break le lo jarvis,hinglish,timer.break,focusTimer.break()
break start karo,hinglish,timer.break,focusTimer.break()
jarvis break start karo,hinglish,timer.break,focusTimer.break()
break start karo jarvis,hinglish,timer.break,focusTimer.break()
thoda rest chahiye,hinglish,timer.break,focusTimer.break()
jarvis thoda rest chahiye,hinglish,timer.break,focusTimer.break()
thoda rest chahiye jarvis,hinglish,timer.break,focusTimer.break()
add score 80 out of 100 prelims,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis add score 80 out of 100 prelims,en,score.add,"core.addScore(score,max,cat,sub)"
add score 80 out of 100 prelims jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
add score 80 out of 100 optional,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis add score 80 out of 100 optional,en,score.add,"core.addScore(score,max,cat,sub)"
add score 80 out of 100 optional jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
add score 75 out of 100 prelims,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis add score 75 out of 100 prelims,en,score.add,"core.addScore(score,max,cat,sub)"
add score 75 out of 100 prelims jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
add score 75 out of 100 optional,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis add score 75 out of 100 optional,en,score.add,"core.addScore(score,max,cat,sub)"
add score 75 out of 100 optional jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
log 80 by 100 in prelims,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis log 80 by 100 in prelims,en,score.add,"core.addScore(score,max,cat,sub)"
log 80 by 100 in prelims jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
log 80 by 100 in optional,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis log 80 by 100 in optional,en,score.add,"core.addScore(score,max,cat,sub)"
log 80 by 100 in optional jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
log 75 by 100 in prelims,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis log 75 by 100 in prelims,en,score.add,"core.addScore(score,max,cat,sub)"
log 75 by 100 in prelims jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
log 75 by 100 in optional,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis log 75 by 100 in optional,en,score.add,"core.addScore(score,max,cat,sub)"
log 75 by 100 in optional jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
i scored 80 of 100 prelims,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis i scored 80 of 100 prelims,en,score.add,"core.addScore(score,max,cat,sub)"
i scored 80 of 100 prelims jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
i scored 80 of 100 optional,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis i scored 80 of 100 optional,en,score.add,"core.addScore(score,max,cat,sub)"
i scored 80 of 100 optional jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
i scored 75 of 100 prelims,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis i scored 75 of 100 prelims,en,score.add,"core.addScore(score,max,cat,sub)"
i scored 75 of 100 prelims jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
i scored 75 of 100 optional,en,score.add,"core.addScore(score,max,cat,sub)"
jarvis i scored 75 of 100 optional,en,score.add,"core.addScore(score,max,cat,sub)"
i scored 75 of 100 optional jarvis,en,score.add,"core.addScore(score,max,cat,sub)"
prelims में 100 में से 80 जोड़ो,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis prelims में 100 में से 80 जोड़ो,hi,score.add,"core.addScore(score,max,cat,sub)"
prelims में 100 में से 80 जोड़ो jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
optional में 100 में से 80 जोड़ो,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis optional में 100 में से 80 जोड़ो,hi,score.add,"core.addScore(score,max,cat,sub)"
optional में 100 में से 80 जोड़ो jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
prelims में 100 में से 75 जोड़ो,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis prelims में 100 में से 75 जोड़ो,hi,score.add,"core.addScore(score,max,cat,sub)"
prelims में 100 में से 75 जोड़ो jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
optional में 100 में से 75 जोड़ो,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis optional में 100 में से 75 जोड़ो,hi,score.add,"core.addScore(score,max,cat,sub)"
optional में 100 में से 75 जोड़ो jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
prelims का स्कोर 80/100 दर्ज करो,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis prelims का स्कोर 80/100 दर्ज करो,hi,score.add,"core.addScore(score,max,cat,sub)"
prelims का स्कोर 80/100 दर्ज करो jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
optional का स्कोर 80/100 दर्ज करो,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis optional का स्कोर 80/100 दर्ज करो,hi,score.add,"core.addScore(score,max,cat,sub)"
optional का स्कोर 80/100 दर्ज करो jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
prelims का स्कोर 75/100 दर्ज करो,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis prelims का स्कोर 75/100 दर्ज करो,hi,score.add,"core.addScore(score,max,cat,sub)"
prelims का स्कोर 75/100 दर्ज करो jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
optional का स्कोर 75/100 दर्ज करो,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis optional का स्कोर 75/100 दर्ज करो,hi,score.add,"core.addScore(score,max,cat,sub)"
optional का स्कोर 75/100 दर्ज करो jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
80 में से 100 मिला prelims,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis 80 में से 100 मिला prelims,hi,score.add,"core.addScore(score,max,cat,sub)"
80 में से 100 मिला prelims jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
80 में से 100 मिला optional,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis 80 में से 100 मिला optional,hi,score.add,"core.addScore(score,max,cat,sub)"
80 में से 100 मिला optional jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
75 में से 100 मिला prelims,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis 75 में से 100 मिला prelims,hi,score.add,"core.addScore(score,max,cat,sub)"
75 में से 100 मिला prelims jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
75 में से 100 मिला optional,hi,score.add,"core.addScore(score,max,cat,sub)"
jarvis 75 में से 100 मिला optional,hi,score.add,"core.addScore(score,max,cat,sub)"
75 में से 100 मिला optional jarvis,hi,score.add,"core.addScore(score,max,cat,sub)"
prelims mein 80 out of 100 add karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis prelims mein 80 out of 100 add karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
prelims mein 80 out of 100 add karo jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
optional mein 80 out of 100 add karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis optional mein 80 out of 100 add karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
optional mein 80 out of 100 add karo jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
prelims mein 75 out of 100 add karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis prelims mein 75 out of 100 add karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
prelims mein 75 out of 100 add karo jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
optional mein 75 out of 100 add karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis optional mein 75 out of 100 add karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
optional mein 75 out of 100 add karo jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
prelims ka score 80/100 log karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis prelims ka score 80/100 log karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
prelims ka score 80/100 log karo jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
optional ka score 80/100 log karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis optional ka score 80/100 log karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
optional ka score 80/100 log karo jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
prelims ka score 75/100 log karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis prelims ka score 75/100 log karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
prelims ka score 75/100 log karo jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
optional ka score 75/100 log karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis optional ka score 75/100 log karo,hinglish,score.add,"core.addScore(score,max,cat,sub)"
optional ka score 75/100 log karo jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
80 by 100 aaya prelims,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis 80 by 100 aaya prelims,hinglish,score.add,"core.addScore(score,max,cat,sub)"
80 by 100 aaya prelims jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
80 by 100 aaya optional,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis 80 by 100 aaya optional,hinglish,score.add,"core.addScore(score,max,cat,sub)"
80 by 100 aaya optional jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
75 by 100 aaya prelims,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis 75 by 100 aaya prelims,hinglish,score.add,"core.addScore(score,max,cat,sub)"
75 by 100 aaya prelims jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
75 by 100 aaya optional,hinglish,score.add,"core.addScore(score,max,cat,sub)"
jarvis 75 by 100 aaya optional,hinglish,score.add,"core.addScore(score,max,cat,sub)"
75 by 100 aaya optional jarvis,hinglish,score.add,"core.addScore(score,max,cat,sub)"
what's my prelims average,en,query.average,core.queryAverage(stream)
jarvis what's my prelims average,en,query.average,core.queryAverage(stream)
what's my prelims average jarvis,en,query.average,core.queryAverage(stream)
what's my optional average,en,query.average,core.queryAverage(stream)
jarvis what's my optional average,en,query.average,core.queryAverage(stream)
what's my optional average jarvis,en,query.average,core.queryAverage(stream)
tell me my prelims accuracy,en,query.average,core.queryAverage(stream)
jarvis tell me my prelims accuracy,en,query.average,core.queryAverage(stream)
tell me my prelims accuracy jarvis,en,query.average,core.queryAverage(stream)
tell me my optional accuracy,en,query.average,core.queryAverage(stream)
jarvis tell me my optional accuracy,en,query.average,core.queryAverage(stream)
tell me my optional accuracy jarvis,en,query.average,core.queryAverage(stream)
how am i doing in prelims,en,query.average,core.queryAverage(stream)
jarvis how am i doing in prelims,en,query.average,core.queryAverage(stream)
how am i doing in prelims jarvis,en,query.average,core.queryAverage(stream)
how am i doing in optional,en,query.average,core.queryAverage(stream)
jarvis how am i doing in optional,en,query.average,core.queryAverage(stream)
how am i doing in optional jarvis,en,query.average,core.queryAverage(stream)
मेरा prelims औसत क्या है,hi,query.average,core.queryAverage(stream)
jarvis मेरा prelims औसत क्या है,hi,query.average,core.queryAverage(stream)
मेरा prelims औसत क्या है jarvis,hi,query.average,core.queryAverage(stream)
मेरा optional औसत क्या है,hi,query.average,core.queryAverage(stream)
jarvis मेरा optional औसत क्या है,hi,query.average,core.queryAverage(stream)
मेरा optional औसत क्या है jarvis,hi,query.average,core.queryAverage(stream)
prelims की एक्यूरेसी बताओ,hi,query.average,core.queryAverage(stream)
jarvis prelims की एक्यूरेसी बताओ,hi,query.average,core.queryAverage(stream)
prelims की एक्यूरेसी बताओ jarvis,hi,query.average,core.queryAverage(stream)
optional की एक्यूरेसी बताओ,hi,query.average,core.queryAverage(stream)
jarvis optional की एक्यूरेसी बताओ,hi,query.average,core.queryAverage(stream)
optional की एक्यूरेसी बताओ jarvis,hi,query.average,core.queryAverage(stream)
prelims में कैसा चल रहा है,hi,query.average,core.queryAverage(stream)
jarvis prelims में कैसा चल रहा है,hi,query.average,core.queryAverage(stream)
prelims में कैसा चल रहा है jarvis,hi,query.average,core.queryAverage(stream)
optional में कैसा चल रहा है,hi,query.average,core.queryAverage(stream)
jarvis optional में कैसा चल रहा है,hi,query.average,core.queryAverage(stream)
optional में कैसा चल रहा है jarvis,hi,query.average,core.queryAverage(stream)
mera prelims average kya hai,hinglish,query.average,core.queryAverage(stream)
jarvis mera prelims average kya hai,hinglish,query.average,core.queryAverage(stream)
mera prelims average kya hai jarvis,hinglish,query.average,core.queryAverage(stream)
mera optional average kya hai,hinglish,query.average,core.queryAverage(stream)
jarvis mera optional average kya hai,hinglish,query.average,core.queryAverage(stream)
mera optional average kya hai jarvis,hinglish,query.average,core.queryAverage(stream)
prelims accuracy batao,hinglish,query.average,core.queryAverage(stream)
jarvis prelims accuracy batao,hinglish,query.average,core.queryAverage(stream)
prelims accuracy batao jarvis,hinglish,query.average,core.queryAverage(stream)
optional accuracy batao,hinglish,query.average,core.queryAverage(stream)
jarvis optional accuracy batao,hinglish,query.average,core.queryAverage(stream)
optional accuracy batao jarvis,hinglish,query.average,core.queryAverage(stream)
prelims mein kaisa chal raha,hinglish,query.average,core.queryAverage(stream)
jarvis prelims mein kaisa chal raha,hinglish,query.average,core.queryAverage(stream)
prelims mein kaisa chal raha jarvis,hinglish,query.average,core.queryAverage(stream)
optional mein kaisa chal raha,hinglish,query.average,core.queryAverage(stream)
jarvis optional mein kaisa chal raha,hinglish,query.average,core.queryAverage(stream)
optional mein kaisa chal raha jarvis,hinglish,query.average,core.queryAverage(stream)
what's my rank projection,en,query.rank,core.queryRank()
